INSERT INTO hearudb.usuarios (nombreUsuario, nombre, correo, contrasena, foto) VALUES ('diego123', 'Diego Castillo', 'diego@gmail.com', '12345', null);

INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (1, 'Bad Bunny', '/artist/badbunny.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (2, 'Grupo Marca Registrada', '/artist/marcaregistrada.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (3, 'Taylor Swift', '/artist/taylorswift.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (4, 'Feid', '/artist/feid.png');
INSERT INTO hearudb.autores (idAutor, nombreAutor, foto) VALUES (5, 'Rels B', '/artist/relsb.png');

INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (1, 'Pop');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (2, 'Rock');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (3, 'Hip hop');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (4, 'Electrónica');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (5, 'Clásica');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (6, 'Jazz');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (7, 'Reggae');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (8, 'Country');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (9, 'Salsa');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (10, 'Merengue');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (11, 'Flamenco');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (12, 'Tango');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (13, 'Opera');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (14, 'Balada');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (15, 'Rumba');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (16, 'Cumbia');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (17, 'Música del mundo');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (18, 'reggaeton');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (19, 'Regional Mexicana');
INSERT INTO hearudb.generos (idGenero, nombreGenero) VALUES (20, 'Urbano Latino');

INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (1, 'Nadie sabe lo que va a pasar mañana', 1, 18, 'Rimas Entertainment', 'NSPM.jpeg', '2023-10-13');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (2, 'Corleone', 2, 19, 'Interscope Records', '/cover/corleone.jpeg', '2023-08-04');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (3, 'Midnights', 3, 1, 'Republic Records', '/Cover/Midnights.jpeg', '2022-10-21');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (4, 'MOR, No Le Temas a La Oscuridad', 4, 20, 'Universal Music Latino', '/Cover/MOR,NLTALO.jpg', '2023-09-29');
INSERT INTO hearudb.albumes (idAlbum, titulo, idAutor, idGenero, disquera, portada, fechaLanzamiento) VALUES (5, 'Happy Birthday Flakko', 5, 20, 'Sony Music Entertainment España,S.L.', '/Cover/HBF-RelsB.jpg', '2019-10-19');

INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (23, 'FINA', 1, 18, 1, '03:37:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (24, 'TELEFONO NUEVO', 1, 18, 1, '05:55:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (25, 'MERCEDES CAROTA', 1, 18, 1, '03:23:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (26, 'UN PREVIEW', 1, 18, 1, '02:46:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (27, 'BABY NUEVA', 1, 18, 1, '04:01:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (28, 'GRACIAS POR NADA', 1, 18, 1, '02:58:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (29, 'LOS PITS', 1, 18, 1, '04:11:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (30, 'VUELVE CANDY B', 1, 18, 1, '04:27:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (31, 'THUNDER Y LIGHTNING', 1, 18, 1, '03:38:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (32, 'ACHO PR', 1, 18, 1, '06:00:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (33, 'PERRO NEGRO', 1, 18, 1, '02:43:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (34, 'CYBERTRUCK', 1, 18, 1, '03:12:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (35, 'WHERE SHE GOES', 1, 18, 1, '03:52:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (36, 'EUROPA:(', 1, 18, 1, '00:12:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (37, 'BATICANO', 1, 18, 1, '04:16:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (38, 'HIBIKI', 1, 18, 1, '03:28:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (39, 'SEDA', 1, 18, 1, '03:11:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (40, 'MONACO', 1, 18, 1, '04:28:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (41, 'NO ME QUIERO CASAR', 1, 18, 1, '03:46:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (42, 'NADIE SABE', 1, 18, 1, '06:20:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (43, 'VOU 787', 1, 18, 1, '02:04:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (44, 'MR. OCTOBER', 1, 18, 1, '03:10:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (45, 'Fui Marito Choklos', 2, 19, 2, '04:10:00');
INSERT INTO hearudb.canciones (idCancion, nombre, idAutor, idGenero, idAlbum, duracion) VALUES (46, 'El Paisa', 2, 19, 2, '02:53:00');
